SiteID,Location,HabitatType,WaterDepth,CanopyHeight,ALISUBC,AMBROSIA,APOCYNUM,ASCLEPIAS,BIDENS,BOECYLI,BOLFLUV,BUTUMBE,CAREX,CERDEME,CHARA,CICDOUG,CALSEPI,CUSCUTA,CYPERUS,DECVERT,ELEOBTU,ELOCANA,EPILOBIUM,ERECHTITES,EUPPERF,HETDUBI,HYDMORS,IMPCAPE,IRIS,JUNCUS,JUNCUS_2,LEEORYZ,LYCAMER,LYTSALI,MELILOTUS,MIMRING,MYRSIBI,MYRSPIC,MYRVERT,NAJFLEX,NUPLUTE,NYMODOR,PERAMPH,PERHYDR,PERLAPA,PHRAUST,PONCORD,POTCRIS,POTFOLI,POTNATA,POTRICH,POTZOST,RORIPPA,RORPALU,SAGITTARIA,SALIX,SCHACUT,SCHPUNG,SCHTABE,SOLDULC,SOLIDAGO,SPARGANIUM,SPIPOLY,SPARTINA,STRHELV,STUPECT,THEPALU,TYPHA,UTRMINO,UTRVULG,VALAMER,VERHAST,ZIZPALU,UNK_SEEDLING
BCFWT8,BCNWA,Treated,34.85148515,53.06930693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
BCWFP1,BCNWA,Phragmites,9.455445545,404.5544554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BCWFP2,BCNWA,Phragmites,26.37623762,334.7029703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0
BCWFP3,BCNWA,Phragmites,19.2970297,283.2673267,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCWFP4,BCNWA,Phragmites,23.1980198,382.1782178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
BCWFP5,BCNWA,Phragmites,19.42574257,283.7623762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0
BCWFP6,BCNWA,Phragmites,18.05940594,352.970297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
BCWFP7,BCNWA,Phragmites,20.3960396,291.5841584,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
BCWFP8,BCNWA,Phragmites,47.45544554,302.6732673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
BCWFR1,BCNWA,Reference,20.06930693,212.6732673,0,0,0,0,2,0,0,0,0,8,3,0,0,0,0,0,0,8,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,97,0,0,0,0,0,0
BCWFR2,BCNWA,Reference,33.55445545,66.13861386,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,5,0,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,34,0,0,0,0,0,0
BCWFR3,BCNWA,Reference,19.86138614,244.950495,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,5,0,0,2,21,0,0,0,0,97,0,0,0,0,16,0
